"query_text","popularity","updated_at"
"expesso","1","2019-03-29"
"capucc","1","2019-03-29"
"Genio 2","1","2019-03-29"
"Pagar con puntos","1","2019-03-29"
"chocolate máquina","1","2019-03-29"
"chocolate máquina vending bolsa","2","2019-03-29"
"Choco","3","2019-03-28"
"Registrar codigo","4","2019-03-28"
"Colora","1","2019-03-28"
"Chai te latte","2","2019-03-27"
"Mantenimiento","1","2019-03-27"
"Decafeinado","1","2019-03-27"
"Tester's choice decafeinado","1","2019-03-27"
"Frida Khalo","1","2019-03-27"
"descaling","1","2019-03-27"
"dolce gusto infinissima","1","2019-03-27"
"infinissima","1","2019-03-27"
"MAQUINA EXPENDEDORA","1","2019-03-27"
"nescafe dolce gusto expresso descafeinado","4","2019-03-27"
"NESC DOLCE GUSTO Espresso 16Cap3x96gN1XQ","1","2019-03-26"
"Reparacion","1","2019-03-26"
"Cafe con leche","1","2019-03-26"
"Dolce gusto depósito","1","2019-03-25"
"Dulce gusto oblo","1","2019-03-25"
"Cafés frios","1","2019-03-25"
"Cápsulas de café frio","1","2019-03-25"
"Toaster choise avellana","1","2019-03-25"
"Dulce Gusto Genio","3","2019-03-24"
"Registro de códigos","3","2019-03-24"
"Nescafe de 120g","1","2019-03-24"
"Como ingresar códigos","1","2019-03-24"
"Tamaño de tazas","3","2019-03-24"
"Nestea","1","2019-03-24"
"Puntos","5","2019-03-23"
"Cupones","2","2019-03-23"
"Descalcificación","2","2019-03-23"
"Desclasificados","1","2019-03-23"
"12281618-CST0","1","2019-03-23"
"Poccolo","1","2019-03-23"
"Modelo 9631","4","2019-03-23"
"33LLJPANNCWP","1","2019-03-23"
"dolce fan","1","2019-03-23"
"Promocioness","1","2019-03-23"
"quiero registrar mi código","3","2019-03-23"
"como registrar mi codigo","1","2019-03-23"
"canjea codigo","1","2019-03-23"
"maquinas de cafe","3","2019-03-22"
"Cafetera taster choice","3","2019-03-22"
"system","1","2019-03-22"
"Importe ambiental","1","2019-03-22"
"lite","1","2019-03-22"
"Nescafe Taster choice system","4","2019-03-22"
"Cafeteraca dolce gusto","1","2019-03-22"
"accesorios","5","2019-03-21"
"descalsificador","2","2019-03-21"
"Precios de celular sansu s7","3","2019-03-21"
"PACK-0001","4","2019-03-21"
"PACK-0003","2","2019-03-21"
"PACK-0002","2","2019-03-21"
"PACK-0004","2","2019-03-21"
"PACK-0005","1","2019-03-21"
"Taster choice green","1","2019-03-21"
"Paquete 0004","1","2019-03-21"
"Centro de servicio","1","2019-03-21"
"vazos","1","2019-03-20"
"cortado","2","2019-03-19"
"refacciones","2","2019-03-19"
"Rastrear pedido","1","2019-03-19"
"NESCAFÉ CAPPUCCINO ORIGINAL CAJA","2","2019-03-18"
"Nescafe de lata de 470 grm","3","2019-03-18"
"almacenador de capsulas","1","2019-03-18"
"guarda capsulas","1","2019-03-18"
"capsulas cafe con leche","1","2019-03-18"
"Regacviones","1","2019-03-18"
"Pastillas descalcificadorad","1","2019-03-18"
"Chochino","1","2019-03-18"
"Chococino capsulad","1","2019-03-18"
"Dolce gusto chococino","1","2019-03-18"
"Dolce gusto 3","1","2019-03-17"
"Macchiati","1","2019-03-17"
"Macchiato vainilla","1","2019-03-17"
"Latte macchiato vainilla","1","2019-03-17"
"Productos para maquinas bendi","1","2019-03-16"
"Prcio","1","2019-03-16"
"Nescafe sabor coco","1","2019-03-16"
"lata de 1 kg","1","2019-03-15"
"Tazas capuccino","1","2019-03-15"
"Precios","1","2019-03-15"
"Tapa de distribuidor de agua","2","2019-03-15"
"50 sombras","1","2019-03-15"
"Teléfono","1","2019-03-14"
"12200655-CST0","1","2019-03-14"
"KIT-0006","1","2019-03-14"
"KIT-0007","1","2019-03-14"
"Repuestos de contenedor de agua","2","2019-03-14"
"17501059284620","1","2019-03-14"
"cafe frio","1","2019-03-14"
"maquina vending para cafe frio","2","2019-03-14"
"maquina vending","1","2019-03-14"
"Partes de la cafetera","1","2019-03-13"
"Registro de capsulas","1","2019-03-13"
"12221711","1","2019-03-13"
"12202605-CST0","1","2019-03-13"
"12202605","1","2019-03-13"
"12224690-CST0","2","2019-03-13"
"Cafe Taster Choice Nuez 250 G Nutcracker Soluble Nescafe","1","2019-03-12"
"capsulas capuchino","2","2019-03-11"
"TOIS","1","2019-03-11"
"Pedido","1","2019-03-11"
"Alegri","1","2019-03-09"
"esplena natural","1","2019-03-08"
"lugo","1","2019-03-08"
"A8130","1","2019-03-07"
"Porno de secundaria","1","2019-03-01"
"dolce gusto stellia","1","2019-03-01"
"Comodato","1","2019-02-28"
"FRAPUCHINO","1","2019-02-28"
"Maquillaje","1","2019-02-28"
"capucchino","2","2019-02-27"
"frapucchino","1","2019-02-27"
"fra","1","2019-02-27"
"Tienda de la esquina","3","2019-02-27"
"splend","2","2019-02-27"
"PROMOCION MINI ME","1","2019-02-26"
"nespreso","2","2019-02-25"
"Pelicu mexicana al fonso sayas","1","2019-02-25"
"Porno gratis de mugeres nalgonas y chichonas","1","2019-02-24"
"Keurig","1","2019-02-23"
"Palomera","1","2019-02-23"
"Capsulas de leche","1","2019-02-22"
"otras marcas","1","2019-02-22"
"roast","1","2019-02-20"
"alegria prima","1","2019-02-12"
"molinillo","1","2019-02-12"
"nescage alegria prima","1","2019-02-11"
"NESCAFE ALEGRIA VENDING TAPA 250 PZ/ 16 OZ","1","2019-02-07"
"Cholate abuelita","1","2019-02-05"
"coffe mat","1","2019-02-05"
"svetia","1","2019-01-29"
"Azúcar 4gr","1","2019-01-28"
"pregfuntas frecuentes","1","2019-01-27"
"3pack","1","2019-01-24"
"dolce gusto mini me automatica","2","2019-01-22"
"https://cafeparaminegocio.com.mx/nescafe-dolce-gustor-mini-me-automatica.html","1","2019-01-22"
"cupchino moka en polvo","1","2019-01-22"
"rmorales","3","2019-01-18"
"1`'`--","12","2019-01-17"
"1)","12","2019-01-17"
"rmoales","1","2019-01-17"
"Nescafe milano 300g","1","2019-01-12"
"Cafe soluble descafeinado 100% puro","1","2019-01-12"
"CAFE REGULAR TOASTER CHOICE FRASCO 200 GR","1","2019-01-11"
"PUNTA DEL CIELO","2","2019-01-11"
"CAFE LA PARROQUIA","1","2019-01-11"
"americano mild","1","2019-01-04"
"Tapa para vaso 16oz","1","2018-12-14"
"Tapa para vaso 16oz nescafe alegria","1","2018-12-14"
"cremador","1","2018-12-04"
"pruebas","3","2018-11-30"
"docle","2","2018-11-28"
"Pixie","1","2018-11-28"
"df","1","2018-11-26"
"Algo","1","2018-11-07"
"dolcce","1","2018-11-07"
"Nespresso  Lattissima Touch White","1","2018-10-26"
"aguila","2","2018-10-24"
"dolly","1","2018-10-24"
"Nescafe milano ispiratzione italiano","2","2018-10-21"
"playeras","1","2018-10-19"
"selecciona","1","2018-10-16"
"Daily Range","1","2018-10-16"
"esplenda","2","2018-10-11"
"Esplendor","1","2018-10-11"
"af","1","2018-10-11"
"aguila 420","2","2018-10-10"
"alegria a8130","2","2018-10-10"
"milano lounge","1","2018-10-08"
"APLENDA","1","2018-10-08"
"Naturals caja con 400","3","2018-10-05"
"Milano M8120","1","2018-10-04"
"m8120","1","2018-10-04"
"mts130","1","2018-10-04"
"excel","1","2018-10-04"
"lounge","1","2018-10-04"
"NESCAFE? Dolce Gusto® Mini Me Automática","1","2018-10-04"
"gemini","1","2018-10-03"
"750g","1","2018-10-03"
"NESCAFÉ Cappuccino ORIGINAL,  polvo para preparar café, caja 6 sobres de 120g (2 pack)","1","2018-10-01"
"caramell","1","2018-09-29"
"ardenza","1","2018-09-29"
"profesional","1","2018-09-28"
"mocaccino","1","2018-09-24"
"moca","1","2018-09-24"
"Taster´s Choice Descafeinad","1","2018-09-20"
"bundle","1","2018-06-25"
"NESCAFÉ Dolce Gusto® Lungo Decaffeinato Café","1","2018-06-22"
"professional","1","2018-05-29"
"xx","1","2018-03-27"
"'","1","2018-03-27"
"''''","1","2018-03-27"
"`","1","2018-03-27"
"%22","2","2018-03-27"
"``","1","2018-03-27"
"coffe","1","2018-03-27"
"j","2","2018-03-27"
"22","1","2018-03-27"
"23","2","2018-03-27"
"?????","1","2018-03-27"
"%C4%85","1","2018-03-27"
"a b","2","2018-03-27"
"%25","5","2018-03-27"
"k","1","2018-03-27"
"%27","1","2018-03-27"
"20","1","2018-03-27"
"Maquina Dolce Gusto Mini Me","1","2018-03-08"
"7501059286818","1","2018-03-05"
"SKU: 7501059285620","1","2018-03-05"
"sasd,as sdkljsakdjask sajkasjdklajskldjaklsjd aksjdkas","1","2018-02-22"
"PB648382","1","2018-02-20"
"7501059286221","1","2018-02-16"
"b","2","2018-02-14"
"Algería","1","2018-01-31"
"terraza","1","2018-01-30"
"chocholate","1","2018-01-25"
"cocholate","1","2018-01-24"
"4555","1","2018-01-24"
"*","1","2018-01-15"
"producto","3","2017-11-23"
"pro","1","2017-11-23"
"pr","1","2017-11-23"
